username,comment,date,like_count
@brandynkoogler4500,"Lol trusted news source. There are none. No offical news sources anyway. Stay away from CNN stay away from fox. Your news is your own experience go out and see what people are doong, how they act, what they protest, how they do it, which side is actually respectful, see what your food costs, your fuel. Dont trust the news go and find out first hand.",2023-05-02T01:17:16Z,0
@therealBrainyBoy,people were afraid and now its a meme,2023-05-01T22:29:28Z,0
@tyro244,A.I. will kill us al-AAAAAAAAAAHHHHH!!!,2023-05-01T14:18:42Z,0
@sarakhanjani869,Does anyone know if the audio is also AI generated or is it only mimicry?,2023-04-24T18:21:05Z,0
@kellykanbar3432,This goes for both sides ! We need 👀wide open,2023-04-24T08:18:09Z,0
@bendyer1465,Long live Jordan Peele!!!,2023-04-22T20:07:00Z,0
@DivineMizE,DEEP FAKE!! Scary.,2023-04-17T04:03:31Z,0
@wicked1rish,Doesn't really sound like him,2023-04-15T02:36:09Z,0
@ericperkins3078,"So which was the deepfake, Obama or Peele?  You sure?!",2023-04-14T02:50:59Z,1
@tsuica2799,First i hear of this..,2023-04-12T15:45:19Z,0
@mixmmick,"""A man named Trump will be the saviour of our American way of life"" - George Washington, former President and proud slave owner",2023-04-08T06:49:37Z,0
@RameezMoh-uq4iv,So stop,2023-04-07T21:13:27Z,0
@mikeybro6154,I remember thinking this was so realistic,2023-04-05T06:00:59Z,2
@Hollowdude15,Nice video!,2023-04-05T02:45:22Z,0
@Hollowdude15,4 years later It's effecting the future as we know it in 2023 and it is gonna get worse over time!,2023-04-05T02:45:07Z,1
@Havana2024,Big Traitor,2023-04-02T04:35:11Z,0
@Clancydaenlightened,0:25 yall said that publicly during trumps entire term quit lying,2023-04-02T01:02:59Z,1
@deestroyer6066,Doesn't sound like him,2023-03-29T09:29:18Z,0
@ufo2576,Deep Fake technology is so good you can't tell the difference hardly and I think it is only going to get better,2023-03-25T11:06:26Z,0
@PixelatedWasStolen,wait a minute he used a deep fake for obama here,2023-03-21T22:45:36Z,0
@PixelatedWasStolen,hes kind of gay,2023-03-21T22:44:18Z,0
@professorgoat1099,irony is this tech belongs to the establishment : democrats.,2023-03-21T17:32:26Z,1
@jorgezuni2818,Nay to the narrator and his profanity .. keep awake !!,2023-03-15T03:06:07Z,0
@byronsmith9677,Are u a clone???????????,2023-03-14T15:51:18Z,0
@nedbushcrafter7185,"Dont beleive nothing off any msm or any polititian all liars, none of them tell an ounce of truth",2023-03-14T15:39:32Z,0
@Logoned,What an idiot,2023-03-14T13:38:14Z,0
@TheJacksonscience,The ministry of propaganda has spoken,2023-03-13T03:25:11Z,0
@theendarkenedilluminatus4342,4 years ago.,2023-03-11T07:42:11Z,0
@redwoodscustom9213,what was the software used to create this video?,2023-03-11T07:24:13Z,0
@mack191,"""Trusted news sources""... like CNN 🤣😂🤣 ""STAY WOKE"". What a corporate hack Jordan Peele.",2023-03-09T10:09:32Z,0
